common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
,"Calochortus gunnisonii , and nuttallii",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Calylophus lavandulifolius,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Camassia cusickii , leichtlinii alba, and quamash",,,,,,,,,"Sow at +4ºC (39ºF), germ. erratic, often many months."
,Camassia scilloides,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Bellflower,"Campanula alliarifolia, carpatica, cochlearifolia (bavaria series), collina, glomerata, lactiflora, lasiocarpa, ochroleuca, parryi, piperi, persicifolia, rapunculus, raddeana, rotundifolia, sarmatica, trachelium, and versicolor",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Bellflower,"Campanula bellidifolia, betulifolia, latifolia, patula ssp. abietina, pilosa, poscharskyana, punctata, pyramidalis, rapunculoides, speciosa, takesimana, thyrsoides, and tridentata",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Bellflower,"Campanula fenestrellata, and garganica",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
Bellflower,"Campanula aucherii, cochlearifolia, incurva, patula, portenschlagiana, pulla, pulsilla, punctata rubriflora, saxifraga, and waldsteiniana",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Bellflower,"Campanula medium, and siberica ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Campsis radicans, and x tagliabuana",,,,,,,,,"sow 8 wks @ 39ºF, germ. @ 68ºF , 10-15d , can be invasive"
,Capparis spinosa v. inermis,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Bittercress,"Cardamine bulbosa, pratensis, trifolia, and walsteinii",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Sedge,"Carex acuta, acutiformis, arenaria, atrata, aurea, bergrenii, buchananii, flacca, lurida, macrocephala, muskingumensis, paniculata, pendula, pseudocyperus, remota, secta, sylvatica, tenuiculmis, and vulpina",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks, recycle."
Sedge,"Carex alba, comans, grayi, nigra, riparia, and testacea",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Sedge,"Carex flava, and umbrosa",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Cardiocrinum giganteum,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Carline Thistle,"Carlina acanthifolia, acaulis, and vulgaris",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Cassia marilandica,,,,,,,,,"Scarify seed, then sow at 20ºC (68ºF), germinates in less than two wks"
,Castilleja miniata,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Caryopteris bungei, and incana",,,,,,,,,"Sow on the surface at 20ºC (68ºF) in light, germinates in less than two wks"
Cupid's Dart,Catananche caerulea,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Ceanothus americanus,,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Celmisia armstrongii, hookerii, semicordata, spectabilis, traversii, and walkeri",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Celsia roripifolia,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Cornflower,"Centaurea alpestris, alpina, bella, dealbata, jacea, macrocephala, montana, nigra, orientalis, phrygia, pulcherrima, rupestris, ruthenica, and uniflora",,,,,,,,,"Sow at 20ºC (68ºF), germination in 10 to 30 days"
,Centaurium erythraea,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Red Valerian,Centranthus ruber,,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,Cephalanthus occidentalis,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Cephalaria alpina,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Cephalaria gigantea , and leucantha",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Snow-in-Summer,"Cerastium arvense, biebersteinii, and tomentosum",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germ. in less than two wks"
Snow-in-Summer,"Cerastium alpinum, and candidissimum",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Snow-in-Summer,Cerastium grandiflorum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Cerinthe glabra,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Chaenorrhinum origanifolium,,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,Chamaemelum nobile,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Chasmanthium latifolium,,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
,Chelidonium japonicum,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Chelidonium majus,,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
Turtlehead,"Chelone glabra, lyonii, and obliqua",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Chiastophyllum oppositifolium,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Chionochloa rubra,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Chrysanthemum,"Chrysanthemum cinerariifolium, coccineum, corymbosum, frutescens, indicum, leucanthemum, macrophyllum, maximum, and vulgare",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Chrysanthemum,Chrysanthemum alpinum,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Chrysanthemum,Chrysanthemum arcticum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Chrysanthemum,"Chrysanthemum koreanum, and parthenium",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Chrysopogon gryllus,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Chrysopsis villosa,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Cicerbita alpina,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Chicory,Cichorium intybus,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Cicuta maculata,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Bugbane,"Cimicifuga americana, racemosa, ramosa, and simplex",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
,Circaea lutetiana,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Thistle,"Cirsium acaule, eriophorum, and heterophyllum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Thistle,Cirsium japonicum,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Thistle,Cirsium diacanthus,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Cistus incanus,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Cistus laurifolius,,,,,,,,,"Sow at 20ºC (68ºF), germination slow, often many months"
,Cladium mariscus,,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, after which temperature should be raised gradually."
,Clayttonia megarhiza,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Clematis,"Clematis alpina, campaniflora, flammula, heracleifolia, integrifolia, macropetala, paniculata, potaninii, tangutica, and terniflora",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Clematis,Clematis columbiana,,,,,,,,,Sow outdoors late fall for 91% germ. in May/June. Indoor sowing in light at 20ºC (70ºF) should result in 50% germ. over the period of 2 to 10 weeks.
Clematis,Clematis fremontii,,,,,,,,,Sow outdoors immediately after seeds ripen in midsummer. Germination begins in late fall.
Clematis,Clematis occidentalis,,,,,,,,,"Sow at 4ºC (39ºF) for 8 wks, move to 19ºC (65ºF) oscillating with cooler temps. at night."
Clematis,"Clematis mandschurica, recta, vitalba, and viticella",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Clematis,Clematis virginiana,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Clinopodium vulgare,,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
,"Codonopsis bhtuanica, clematidea, lanceolata, mollis, ovata, pilosula, and tangshen",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Colchicum autumnale, cilicicum, and macrophyllum",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Commelina coelestis, and graminifolia",,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
Lily of the Valley,Convallaria majalis,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination in a year or more."
,"Convolvulus sepium (syn. Calystegia sepium), and spithamaeus",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
Tickseed,Coreopsis grandiflora,,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
Tickseed,Coreopsis lanceolata,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Tickseed,Coreopsis palmata,,,,,,,,,"Sow at Max. 5ºC (41ºF) for 8 wks, move to 22ºC (72ºF) for germ. in about 8 days."
Tickseed,Coreopsis rosea,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Tickseed,Coreopsis tripteris,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Cornus canadensis,,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,Coronilla varia,,,,,,,,,"Scarify seed, then sow at 20ºC (68ºF), germination slow"
,Cortaderia selloana,,,,,,,,,"Surface sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
,"Cortusa matthioli, and turkestanica",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 4 wks, move to +4ºC (39ºF) for 4 wks"
Corydalis,"Corydalis cava, cheilanthifolia, lutea, nobilis, ochroleuca, and solida",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
Corydalis,Corydalis curvisiliqua,,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
Corydalis,"Corydalis racemosa, and sempervirens",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Corynephorus canescens,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Sea Kale,"Crambe cordifolia, maritima, and tatarica",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Craspedia lanata,,,,,,,,,"Sow (immediately after harvest) at Max. 5ºC (41ºF), germination irregular, often several months"
,Cremanthodium ellisii,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Crepis pyrenaica,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Crithmum maritimum,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Montbretia,"Crocosmia 'Lucifer', and masonorum",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Crocus abantensis, asumaniae, tommasinianus, and vernus",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination in a year or more."
,Crucianella stylosa (syn. Phuopsis stylosa),,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Cryptantha paradoxa,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Cyanathus lobatus,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Cyclamen,"Cyclamen cilicium, coum, hederifolium, mirabile, neapolitanum, pseudibericum, and repandum",,,,,,,,,"Sow at 18ºC (64ºF) in light, germination slow"
Cyclamen,Cyclamen persicum giganteum,,,,,,,,,"Constant 80ºF soak, sow @ 60ºF in the dark, germinates in about 2 weeks"
Cyclamen,Cyclamen purpurascens,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Cymbalaria muralis,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Cymopterus planosus,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Artichoke,"Cynara cardunculus, and scolymus",,,,,,,,,"Sow at 23ºC (73ºF), germinates in about two wks"
,"Cynoglossum glochidatum, nervosum, and officinale",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Cyperus eragrostis,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination in a year or more."
,Cyperus glaber,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Cytisus purpureus,,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Danthonia spicata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Daphne giraldii, mezereum, and sericea",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Darmera peltata (syn. Peltiphyllum peltatum) ,",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
,Datisca cannabina,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Degenia velebitica,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Delosperma cooperi, and sutherlandii ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Delphinium,"Delphinium belladonna, cardinale, cashmirianum, chinense, elatum, glareosum, glaucum, grandiflorum, nudicaule, patens, requinni, and tatsienense ,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
Delphinium,"Delphinium exaltatum, and zalil",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Dentaria enneaphyllos,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Deschampsia caespitosa, and flexuosa",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Desmodium canadense, and sessilifolium ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germ."
,"Desmodium illinoense ,",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
Pink,"Dianthus allwoodii, amurensis, arenarius, x arvernensis, barbatus, carthusianorum, caryophyllus, cruentus, deltoides, gratianopolitanus, knappii, microlepis, monspessulanus, myrtinervius, nardiformis, nitidus, petraeus, pinifolius, plumarius, pontederae, pyrenaicus, x roysii, sequieri, siberica, subacaulis, superbus, and sylvestris ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Pink,"Dianthus alpinus, neglectus, and pavonius ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Pink,"Dianthus glacialis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Pink,Dianthus strictus v. bebius,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Diapensia lapponica,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Dicentra cucullaria, eximia, formosa, peregrina, and spectabilis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Dicentra scandens ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Dichelostemma pulchellum,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Dictamnus albus, fraxinella, and ruber ,",,,,,,,,,"Sow at 23ºC (73ºF) for 6-8 wks, move to +4ºC (39ºF) for 6-8 wks, raise temperatures slowly to10ºC (50ºF) for germination, recycle, as germination may take a second year."
,"Dierama pendulum, and pulcherrimum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Foxglove,"Digitalis ambigua, eriostachya, ferruginea, grandiflora, laevigata, lanata, lutea, x mertonensis, obscura, parviflora, purpurea, and thapsi",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
,"Dionysia aretioides, involucrata, and teucrioides ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Dipsacus pilosus,,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,"Dipsacus sativus, and sylvestris",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Dodecatheon conjugens, dentata, meadia, pulchellum, and redolens ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Dodecatheon clevelandii, and tetrandrum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Doronicum orientale ,",,,,,,,,,"Scarify seed, Sow at 20ºC (68ºF), germinates in less than two wks"
,"Doronicum austriacum, and pardalinches ,",,,,,,,,,"Scarify seed, Sow at 20ºC (68ºF), germination slow"
,"Dorycnium hirsutum, and pentaphyllum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Douglasia laevigata, and nivalis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for irregular germination"
,"Draba aizoides, borealis, bruniifolia, cretica, hispanica, lasiocarpa, loiseleurii, parnassica, paysonii, ramosissima, rosularis, sakuraii, and setosa ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Dracocephalum argunense, canescens, grandiflorum, nutans, ruyschianum, and speciosum ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Dracocephalum botryoides,,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Dracunculus vulgaris,,,,,,,,,"Sow under very thin cover at 20ºC (68ºF) in light and constant humidity, germinates in less than two wks if temperatures are held at or above that level."
,Drosera rotundifolia,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Dryas drummondii, integrifolia, octopetala, and x suendermanii ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Duchesnea indica ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eccremocarpus scaber ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Coneflower,"Echinacea pallida, and purpurea ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Coneflower,"Echinacea angustifolia, paradoxa, and tennesseensis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to 4ºC (40ºF) for 9 wks, move to 10ºC (50ºF) for germination"
Globe Thistle,"Echinops bannaticus, ritro, and sphaerocephalus ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Echium italicum, russicum, and vulgare",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Edraianthus graminifolius, and pumilio ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Edraianthus serpyllifolius, and tenuifolius ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Elsholtzia stauntonii,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Eleocharis compressa, and elliptica ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Elymus arenarius, and canadensis ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Eminium spiculatum,,,,,,,,,"Sow under very thin cover at 20ºC (68ºF) in light and constant humidity, germinates in less than two wks if temperatures are held at or above that level."
,Empetrum nigrum,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Epilobium angustifolium, dodonaei, fleisheri, and hirsutum",,,,,,,,,"Surface sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Eragrostis curvula, and trichodes",,,,,,,,,"Sow at 20ºC (68ºF) in light, if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eragrostis spectabilis ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Eranthis hiemalis ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Eremurus aitchisonii, altaicus v. fuscus, bungei, himalaicus, robustus, and stenophyllus ,",,,,,,,,,Sow moist at 25-30ºC (77-87ºF) for 4-5 wks. Move to 2ºC (35ºF) in darkness for 11-12 wks. Slowly raise temperature and light levels.
,Erianthus contortus,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Erianthus ravennae, and strictus",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Erica arborea,,,,,,,,,"Surface sow at Max. 5ºC (41ºF), germination irregular, often several months"
Fleabane,"Erigeron glaucus, hybridus, karvinskianus, and trifidus ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Fleabane,"Erigeron aurantiacus, and myosotis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Fleabane,"Erigeron speciosus ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Erinus alpinus ,",,,,,,,,,"Surface sow at 20ºC (68ºF), germinates in less than two wks"
,"Eriogonum fasciculatum, and umbellatum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eriophorum angustifolium, and vaginatum",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Eriophyllum lanatum ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eritrichum caucasicum , kamtschaticum, and terglouense ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Eritrichium nanum ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Erodium acaule,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Erodium manescavii, and pelargonifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Sea Holly,"Eryngium agavifolium, maritimum, pandanifolium, planum, tripartitum, and yuccafolium,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Sea Holly,"Eryngium alpinum, bourgatii, giganteum, glaciale, palmatum, and spinalba ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination ."
